datetime,temp,precip
2022-08-17,14.6,4.771
2022-08-18,15.8,0.416
2022-08-19,15.6,0.483
2022-08-20,16.3,0.17
2022-08-21,15.3,1.886
2022-08-22,16.3,6.432
2022-08-23,17.9,0.145
2022-08-24,18.3,1.447
2022-08-25,15.2,0.846
2022-08-26,15.1,0.007
2022-08-27,16.7,0
2022-08-28,16.1,0
2022-08-29,14.8,0.313
2022-08-30,13.7,0.021
2022-08-31,14.8,0.131
2022-09-01,15.6,0.101
2022-09-02,16.2,0
2022-09-03,17.4,1.602
2022-09-04,17.6,0.557
2022-09-05,18.3,7.952
2022-09-06,15.6,12.393
2022-09-07,15.7,2.195
2022-09-08,14.1,4.043
2022-09-09,14.9,12.324
2022-09-10,14.6,0.588
2022-09-11,15.4,1.682
2022-09-12,15.9,4.242
2022-09-13,12.7,0.006
2022-09-14,12.2,0
2022-09-15,11.8,0
2022-09-16,9.6,0.024
2022-09-17,9.4,0
2022-09-18,11.2,0.081
2022-09-19,11,0.476
2022-09-20,13.2,0
2022-09-21,13.4,0
2022-09-22,13.2,2.038
2022-09-23,12.4,0.087
2022-09-24,10.1,0.035
2022-09-25,9.9,0.397
2022-09-26,10,3.634
2022-09-27,8.1,0.552
2022-09-28,8.6,4.848
2022-09-29,10.8,2.445
2022-09-30,9.9,14.036
2022-10-01,12,2.297
2022-10-02,11.4,0.515
2022-10-03,11.9,0
2022-10-04,14.4,2.167
2022-10-05,12.4,9.531
2022-10-06,12,0.083
2022-10-07,11.7,6.443
2022-10-08,9.6,0.124
2022-10-09,10.1,1.417
2022-10-10,9.3,2.453
2022-10-11,9.1,0
2022-10-12,10.3,1.078
2022-10-13,9.1,0.104
2022-10-14,10.7,0.679
2022-10-15,9.5,7.122
2022-10-16,9.6,2.725
2022-10-17,12.6,2.043
2022-10-18,9.9,0
2022-10-19,9.9,0
2022-10-20,11.3,20.918
2022-10-21,11.7,1.779
2022-10-22,13,0.33
2022-10-23,12.5,10.377
2022-10-24,11.8,3.37
2022-10-25,11.6,0.301
2022-10-26,13.5,2.29
2022-10-27,13.2,2.302
2022-10-28,13.5,1.493
2022-10-29,11.4,3.988
2022-10-30,11.8,0.658
2022-10-31,11.6,14.509
2022-11-01,9.7,10.116
2022-11-02,8.9,7.193
2022-11-03,8.1,0.018
2022-11-04,6.4,0.106
2022-11-05,8.1,1.032
