datetime,temp,conditions,precipitation
2020-01-26,5.5,"Rain, Partially cloudy",3.234
2020-01-27,4.0,"Rain, Partially cloudy",2.565
2020-01-28,2.7,"Snow, Rain, Partially cloudy",1.926
2020-01-29,5.1,"Rain, Partially cloudy",3.076
2020-01-30,7.8,"Rain, Partially cloudy",0.085
2020-01-31,9.2,"Rain, Partially cloudy",0.506
2020-02-01,7.4,"Rain, Partially cloudy",0.423
2020-02-02,6.2,"Rain, Partially cloudy",3.794
2020-02-03,5.6,"Rain, Partially cloudy",1.609
2020-02-04,5.1,"Rain, Partially cloudy",2.67
2020-02-05,3.4,Partially cloudy,0.0
2020-02-06,3.8,"Rain, Partially cloudy",0.044
2020-02-07,2.5,"Snow, Rain, Partially cloudy",0.012
2020-02-08,6.5,"Rain, Partially cloudy",0.772
2020-02-09,8.2,"Rain, Partially cloudy",39.551
2020-02-10,3.5,"Rain, Partially cloudy",10.108
2020-02-11,2.5,"Rain, Partially cloudy",7.223
2020-02-12,2.7,"Rain, Partially cloudy",0.771
2020-02-13,3.5,"Rain, Partially cloudy",7.104
2020-02-14,5.0,"Rain, Partially cloudy",0.649
2020-02-15,8.4,"Rain, Partially cloudy",7.191
2020-02-16,6.0,"Rain, Partially cloudy",29.869
2020-02-17,5.0,"Rain, Partially cloudy",0.726
2020-02-18,4.2,"Rain, Partially cloudy",3.148
2020-02-19,4.6,"Rain, Partially cloudy",2.52
2020-02-20,5.7,"Rain, Partially cloudy",6.335
2020-02-21,6.4,"Rain, Partially cloudy",5.182
2020-02-22,6.9,"Rain, Partially cloudy",16.077
2020-02-23,4.4,"Rain, Partially cloudy",14.153
2020-02-24,4.1,"Snow, Rain, Partially cloudy",16.945
2020-02-25,2.5,"Rain, Partially cloudy",4.92
2020-02-26,2.1,"Snow, Rain, Partially cloudy",1.885
2020-02-27,2.2,"Snow, Rain, Partially cloudy",1.798
2020-02-28,3.9,"Snow, Rain, Partially cloudy",7.639
2020-02-29,5.2,"Rain, Partially cloudy",4.32
2020-03-01,4.0,"Rain, Partially cloudy",5.847
2020-03-02,2.3,"Snow, Rain, Partially cloudy",0.186
2020-03-03,3.1,"Snow, Rain, Partially cloudy",4.125
2020-03-04,3.6,Partially cloudy,0.0
2020-03-05,1.8,"Snow, Rain, Partially cloudy",0.109
2020-03-06,2.5,"Rain, Partially cloudy",0.012
2020-03-07,7.2,Partially cloudy,0.0
2020-03-08,7.1,"Rain, Partially cloudy",2.981
2020-03-09,5.8,"Rain, Partially cloudy",4.892
2020-03-10,9.3,"Rain, Partially cloudy",13.587
2020-03-11,6.9,"Rain, Partially cloudy",2.613
2020-03-12,4.3,"Rain, Partially cloudy",6.839
2020-03-13,4.9,"Rain, Partially cloudy",1.149
2020-03-14,6.8,"Rain, Partially cloudy",0.655
2020-03-15,7.0,"Rain, Partially cloudy",5.293
2020-03-16,6.2,"Rain, Partially cloudy",0.182
2020-03-17,9.6,"Rain, Partially cloudy",0.085
2020-03-18,6.1,"Rain, Partially cloudy",1.3
2020-03-19,4.8,"Rain, Partially cloudy",0.007
2020-03-20,3.9,Partially cloudy,0.0
2020-03-21,3.7,"Rain, Partially cloudy",0.03
2020-03-22,4.2,Partially cloudy,0.0
2020-03-23,4.4,Partially cloudy,0.0
2020-03-24,8.8,Partially cloudy,0.0
2020-03-25,10.0,Partially cloudy,0.0
2020-03-26,6.2,Clear,0.0
2020-03-27,4.3,"Rain, Partially cloudy",0.007
2020-03-28,4.8,"Rain, Partially cloudy",0.035
2020-03-29,2.6,"Snow, Rain, Partially cloudy",0.076
2020-03-30,4.8,"Rain, Partially cloudy",0.053
2020-03-31,5.1,"Rain, Partially cloudy",0.774
2020-04-01,5.7,"Rain, Overcast",0.007
2020-04-02,6.8,"Rain, Partially cloudy",0.007
2020-04-03,5.9,"Rain, Partially cloudy",0.085
2020-04-04,8.1,Partially cloudy,0.0
2020-04-05,11.6,Partially cloudy,0.0
2020-04-06,10.8,"Rain, Partially cloudy",0.555
2020-04-07,9.5,Partially cloudy,0.0
2020-04-08,11.9,Partially cloudy,0.0
2020-04-09,8.8,Partially cloudy,0.0
2020-04-10,11.7,Partially cloudy,0.0
2020-04-11,14.6,"Rain, Partially cloudy",0.131
2020-04-12,10.4,"Rain, Partially cloudy",0.014
2020-04-13,4.8,"Rain, Partially cloudy",0.819
2020-04-14,5.1,Partially cloudy,0.0
2020-04-15,10.2,Partially cloudy,0.0
2020-04-16,10.4,Partially cloudy,0.0
2020-04-17,7.4,Partially cloudy,0.0
2020-04-18,6.2,"Rain, Partially cloudy",0.177
2020-04-19,7.6,Partially cloudy,0.0
2020-04-20,7.6,Clear,0.0
2020-04-21,8.9,Clear,0.0
2020-04-22,9.8,Partially cloudy,0.0
2020-04-23,9.8,Partially cloudy,0.0
2020-04-24,10.4,Partially cloudy,0.0
2020-04-25,9.4,Partially cloudy,0.0
2020-04-26,12.1,Partially cloudy,0.0
2020-04-27,9.6,"Rain, Partially cloudy",0.035
2020-04-28,6.5,"Rain, Partially cloudy",1.309
2020-04-29,6.2,"Rain, Partially cloudy",6.494
2020-04-30,7.8,"Rain, Partially cloudy",1.113
2020-05-01,7.6,"Rain, Partially cloudy",1.591
2020-05-02,9.1,"Rain, Partially cloudy",0.102
2020-05-03,9.1,"Rain, Partially cloudy",0.071
2020-05-04,8.8,"Rain, Partially cloudy",0.571
2020-05-05,7.2,Partially cloudy,0.0
2020-05-06,8.4,Clear,0.0
2020-05-07,12.1,Partially cloudy,0.0
2020-05-08,14.0,"Rain, Partially cloudy",0.071
2020-05-09,14.9,Partially cloudy,0.0
2020-05-10,7.2,"Rain, Partially cloudy",0.38
2020-05-11,4.5,"Rain, Partially cloudy",0.41
2020-05-12,6.5,"Rain, Partially cloudy",0.254
2020-05-13,5.2,"Rain, Partially cloudy",0.007
2020-05-14,6.6,Partially cloudy,0.0
2020-05-15,8.9,Partially cloudy,0.0
2020-05-16,9.5,Partially cloudy,0.0
2020-05-17,11.9,Partially cloudy,0.0
2020-05-18,12.1,"Rain, Partially cloudy",0.376
2020-05-19,14.0,"Rain, Partially cloudy",0.122
2020-05-20,17.4,Partially cloudy,0.0
2020-05-21,15.7,Partially cloudy,0.0
2020-05-22,14.1,"Rain, Partially cloudy",1.579
2020-05-23,11.3,"Rain, Partially cloudy",0.804
2020-05-24,12.2,"Rain, Partially cloudy",0.663
2020-05-25,14.3,Partially cloudy,0.0
2020-05-26,14.0,Partially cloudy,0.0
2020-05-27,13.8,Partially cloudy,0.0
2020-05-28,14.9,Partially cloudy,0.0
2020-05-29,16.4,Clear,0.0
2020-05-30,13.9,Partially cloudy,0.0
2020-05-31,14.8,Partially cloudy,0.0
2020-06-01,15.2,Clear,0.0
2020-06-02,15.4,Partially cloudy,0.0
2020-06-03,10.6,"Rain, Partially cloudy",3.594
2020-06-04,9.3,"Rain, Partially cloudy",1.193
